FY 2025 IPPS/LTCH PPS Final Rule: Hospital Readmissions Reduction Program Supplemental Data            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital CNN,  Payment adjustment factor ,Payment reduction percentage,Dual proportion,Peer group assignment,Neutrality modifier ,Number of eligible discharges for AMI,ERR for AMI,Peer group median ERR for AMI,Penalty indicator for AMI,DRG payment ratio for AMI,Number of eligible discharges for COPD,ERR for COPD,Peer group median ERR for COPD,Penalty indicator for COPD,DRG payment ratio for COPD,Number of eligible discharges for HF,ERR for HF,Peer group median ERR for HF,Penalty indicator for HF,DRG payment ratio for HF,Number of eligible discharges for pneumonia,ERR for pneumonia,Peer group median ERR for pneumonia,Penalty indicator for pneumonia,DRG payment ratio for pneumonia,Number of eligible discharges for CABG,ERR for CABG,Peer group median ERR for CABG,Penalty indicator for CABG,DRG payment ratio for CABG,Number of eligible discharges for THA/TKA,ERR for THA/TKA,Peer group median ERR for THA/TKA,Penalty indicator for THA/TKA,DRG payment ratio for THA/TKA,
220030,0.9999,0.01%,0.3158,4,0.9652,8,0.9894,0.9972,N,0.0016,144,0.9994,0.9969,Y,0.0279,432,0.9756,1.0032,N,0.0978,261,0.9816,1.0002,N,0.0770,,,1.0061,N,,25,0.9251,0.9901,N,0.0085,
220031,0.9983,0.17%,0.6758,5,0.9652,89,1.0201,1.0014,Y,0.0104,105,1.0142,1.0059,Y,0.0058,530,1.0530,1.0188,Y,0.0394,162,1.0206,1.0110,Y,0.0137,29,0.9755,1.0032,N,0.0067,66,0.9164,0.9925,N,0.0059,
220033,0.9972,0.28%,0.2852,4,0.9652,232,1.0333,0.9972,Y,0.0148,222,1.0065,0.9969,Y,0.0094,894,1.0547,1.0032,Y,0.0449,837,0.9827,1.0002,N,0.0499,,,1.0061,N,,358,0.8763,0.9901,N,0.0268,
220035,0.9925,0.75%,0.3665,5,0.9652,162,0.9721,1.0014,N,0.0115,268,0.9717,1.0059,N,0.0107,"1,184",1.0072,1.0188,N,0.0568,836,1.1769,1.0110,Y,0.0466,,,1.0032,N,,278,0.9834,0.9925,N,0.0195,
220036,0.9822,1.78%,0.3884,5,0.9652,380,1.2271,1.0014,Y,0.0585,40,1.0416,1.0059,Y,0.0021,288,1.2130,1.0188,Y,0.0221,144,0.9049,1.0110,N,0.0101,299,1.0161,1.0032,Y,0.0656,167,0.8414,0.9925,N,0.0137,
220046,0.9991,0.09%,0.3660,5,0.9652,32,0.9749,1.0014,N,0.0016,158,0.9308,1.0059,N,0.0086,903,1.0382,1.0188,Y,0.0473,692,0.9188,1.0110,N,0.0473,,,1.0032,N,,135,0.8900,0.9925,N,0.0107,
220049,0.9917,0.83%,0.3227,5,0.9652,28,1.0590,1.0014,Y,0.0064,97,1.0416,1.0059,Y,0.0221,211,1.1325,1.0188,Y,0.0511,202,1.0409,1.0110,Y,0.0547,,,1.0032,N,,19,0.9421,0.9925,N,0.0067,
220052,0.9960,0.40%,0.4470,5,0.9652,67,1.0042,1.0014,Y,0.0113,215,1.1777,1.0059,Y,0.0230,258,1.0227,1.0188,Y,0.0329,193,0.9596,1.0110,N,0.0303,,,1.0032,N,,187,0.9479,0.9925,N,0.0348,
220060,0.9948,0.52%,0.2223,3,0.9652,207,1.0231,0.9958,Y,0.0144,279,0.8717,0.9924,N,0.0125,721,0.9225,0.9955,N,0.0387,746,1.0344,0.9912,Y,0.0495,,,0.9943,N,,451,1.0774,0.9963,Y,0.0350,
220063,0.9856,1.44%,0.3890,5,0.9652,241,1.2238,1.0014,Y,0.0211,328,1.0767,1.0059,Y,0.0146,"1,009",1.0920,1.0188,Y,0.0522,651,1.1532,1.0110,Y,0.0378,,,1.0032,N,,130,0.9334,0.9925,N,0.0097,
220065,0.9955,0.45%,0.3501,5,0.9652,7,1.0396,1.0014,N,0.0018,96,0.9903,1.0059,N,0.0255,247,1.0498,1.0188,Y,0.0726,149,1.0574,1.0110,Y,0.0529,,,1.0032,N,,3,1.0563,0.9925,N,0.0015,
220066,0.9930,0.70%,0.2996,4,0.9652,30,1.0541,0.9972,Y,0.0029,130,1.0952,0.9969,Y,0.0129,405,1.0052,1.0032,Y,0.0472,251,1.1804,1.0002,Y,0.0316,,,1.0061,N,,68,0.9422,0.9901,N,0.0113,
220070,0.9812,1.88%,0.2792,4,0.9652,145,1.0395,0.9972,Y,0.0177,193,1.1825,0.9969,Y,0.0150,701,1.0925,1.0032,Y,0.0663,480,1.1590,1.0002,Y,0.0534,,,1.0061,N,,124,1.0795,0.9901,Y,0.0174,
220071,0.9977,0.23%,0.2972,4,0.9652,627,1.0983,0.9972,Y,0.0190,373,1.0999,0.9969,Y,0.0044,"1,852",0.9827,1.0032,N,0.0268,"1,049",0.9633,1.0002,N,0.0144,351,0.9503,1.0061,N,0.0185,222,0.9761,0.9901,N,0.0037,
220073,0.9764,2.36%,0.3805,5,0.9652,28,0.9931,1.0014,N,0.0031,262,1.0527,1.0059,Y,0.0248,463,1.0643,1.0188,Y,0.0477,367,1.0883,1.0110,Y,0.0450,,,1.0032,N,,233,1.4844,0.9925,Y,0.0358,
220074,0.9986,0.14%,0.3641,5,0.9652,618,0.8618,1.0014,N,0.0273,707,1.0774,1.0059,Y,0.0139,"1,784",0.9778,1.0188,N,0.0435,"1,410",0.9902,1.0110,N,0.0363,220,0.9154,1.0032,N,0.0223,331,1.0337,0.9925,Y,0.0113,
220075,1.0000,0.00%,0.2003,3,0.9652,,,0.9958,N,,,,0.9924,N,,,,0.9955,N,,4,1.0483,0.9912,N,0.0034,,,0.9943,N,,,,0.9963,N,,
220077,0.9826,1.74%,0.4135,5,0.9652,"1,134",1.1598,1.0014,Y,0.0425,380,1.1704,1.0059,Y,0.0069,"1,821",1.0467,1.0188,Y,0.0387,839,1.2028,1.0110,Y,0.0199,305,1.2110,1.0032,Y,0.0255,748,0.9334,0.9925,N,0.0206,
220080,0.9840,1.60%,0.3935,5,0.9652,81,0.9916,1.0014,N,0.0079,197,1.0887,1.0059,Y,0.0121,595,1.0916,1.0188,Y,0.0433,648,1.0820,1.0110,Y,0.0532,,,1.0032,N,,194,1.4127,0.9925,Y,0.0206,
220083,0.9963,0.37%,0.2017,3,0.9652,17,0.9811,0.9958,N,0.0021,91,0.9942,0.9924,Y,0.0108,529,0.9832,0.9955,N,0.0738,588,1.0289,0.9912,Y,0.1009,,,0.9943,N,,71,0.9332,0.9963,N,0.0151,
220084,0.9970,0.30%,0.1464,1,0.9652,18,1.0210,0.9957,N,0.0024,59,1.0731,0.9940,Y,0.0071,328,1.0121,0.9947,Y,0.0426,311,1.0313,0.9944,Y,0.0492,,,0.9982,N,,274,0.9342,0.9913,N,0.0535,
220086,0.9952,0.48%,0.3184,5,0.9652,542,1.0971,1.0014,Y,0.0254,191,0.9541,1.0059,N,0.0044,"1,183",1.0665,1.0188,Y,0.0275,512,1.0670,1.0110,Y,0.0130,307,1.0269,1.0032,Y,0.0225,233,0.9684,0.9925,N,0.0065,
220088,1.0000,0.00%,0.0583,1,0.9652,,,0.9957,N,,,,0.9940,N,,4,1.0031,0.9947,N,0.0003,,,0.9944,N,,,,0.9982,N,,"3,148",0.6595,0.9913,N,0.3679,
220090,0.9747,2.53%,0.2206,3,0.9652,54,1.0228,0.9958,Y,0.0039,343,1.1233,0.9924,Y,0.0241,677,1.2182,0.9955,Y,0.0522,686,1.1710,0.9912,Y,0.0630,,,0.9943,N,,159,0.8313,0.9963,N,0.0185,
220095,0.9956,0.44%,0.3459,5,0.9652,11,1.0535,1.0014,N,0.0027,109,1.1039,1.0059,Y,0.0260,221,1.0557,1.0188,Y,0.0547,237,1.0095,1.0110,N,0.0735,,,1.0032,N,,58,0.8371,0.9925,N,0.0231,
220098,0.9931,0.69%,0.2356,3,0.9652,6,1.0031,0.9958,N,0.0021,65,0.9581,0.9924,N,0.0250,112,1.0293,0.9955,Y,0.0509,114,1.0846,0.9912,Y,0.0577,,,0.9943,N,,62,0.9930,0.9963,N,0.0469,
220100,0.9891,1.09%,0.2249,3,0.9652,350,1.1159,0.9958,Y,0.0141,545,0.9951,0.9924,Y,0.0116,"1,740",1.0350,0.9955,Y,0.0461,"1,729",1.1413,0.9912,Y,0.0513,,,0.9943,N,,209,0.9555,0.9963,N,0.0083,
220101,0.9918,0.82%,0.1769,2,0.9652,25,1.0283,0.9956,Y,0.0010,190,0.9663,0.9942,N,0.0078,952,0.9569,0.9875,N,0.0436,616,1.0306,0.9895,Y,0.0327,,,0.9966,N,,526,1.1827,0.9888,Y,0.0368,
220105,0.9728,2.72%,0.1678,2,0.9652,28,1.0331,0.9956,Y,0.0022,211,1.1277,0.9942,Y,0.0136,658,1.2229,0.9875,Y,0.0513,706,1.1186,0.9895,Y,0.0583,,,0.9966,N,,187,1.2933,0.9888,Y,0.0221,
220108,0.9959,0.41%,0.2299,3,0.9652,12,0.9830,0.9958,N,0.0014,127,1.0487,0.9924,Y,0.0110,494,1.0262,0.9955,Y,0.0484,361,1.0393,0.9912,Y,0.0439,,,0.9943,N,,"1,095",0.8369,0.9963,N,0.1682,
220110,0.9955,0.45%,0.2654,4,0.9652,666,1.1991,0.9972,Y,0.0211,222,0.9196,0.9969,N,0.0041,"1,303",0.9576,1.0032,N,0.0220,541,1.0532,1.0002,Y,0.0087,377,0.9962,1.0061,N,0.0206,478,0.9845,0.9901,N,0.0091,
220111,0.9806,1.94%,0.3587,5,0.9652,205,1.0041,1.0014,Y,0.0158,251,1.0508,1.0059,Y,0.0115,753,1.0752,1.0188,Y,0.0423,661,1.1564,1.0110,Y,0.0443,,,1.0032,N,,458,1.2799,0.9925,Y,0.0373,
220116,0.9911,0.89%,0.4086,5,0.9652,191,1.1280,1.0014,Y,0.0233,104,1.0652,1.0059,Y,0.0041,421,1.0882,1.0188,Y,0.0243,185,1.0025,1.0110,N,0.0087,174,1.1021,1.0032,Y,0.0289,73,1.3160,0.9925,Y,0.0047,
220119,0.9982,0.18%,0.3917,5,0.9652,15,1.0096,1.0014,N,0.0015,103,0.9329,1.0059,N,0.0082,497,0.9308,1.0188,N,0.0455,316,1.0618,1.0110,Y,0.0373,,,1.0032,N,,272,0.8726,0.9925,N,0.0366,
220135,0.9858,1.42%,0.1749,2,0.9652,61,0.9757,0.9956,N,0.0051,200,0.9509,0.9942,N,0.0166,487,1.0828,0.9875,Y,0.0449,653,1.1184,0.9895,Y,0.0809,,,0.9966,N,,225,0.8237,0.9888,N,0.0316,
220163,0.9975,0.25%,0.3588,5,0.9652,613,1.0276,1.0014,Y,0.0261,351,1.0439,1.0059,Y,0.0071,"1,028",0.9956,1.0188,N,0.0245,972,1.0530,1.0110,Y,0.0275,174,0.9455,1.0032,N,0.0156,179,1.0758,0.9925,Y,0.0055,
220171,0.9955,0.45%,0.1755,2,0.9652,527,0.9692,0.9956,N,0.0273,180,1.0301,0.9942,Y,0.0046,"1,269",1.0364,0.9875,Y,0.0339,713,0.9540,0.9895,N,0.0208,246,1.0276,0.9966,Y,0.0226,300,1.1940,0.9888,Y,0.0104,
220175,0.9893,1.07%,0.3005,4,0.9652,82,1.1143,0.9972,Y,0.0163,129,0.9791,0.9969,N,0.0141,374,1.0951,1.0032,Y,0.0453,309,1.0872,1.0002,Y,0.0461,,,1.0061,N,,33,1.1720,0.9901,Y,0.0056,
220176,0.9946,0.54%,0.3585,5,0.9652,130,1.0728,1.0014,Y,0.0214,104,1.0381,1.0059,Y,0.0082,474,1.0696,1.0188,Y,0.0410,349,1.0128,1.0110,Y,0.0358,45,1.0539,1.0032,Y,0.0153,63,1.1128,0.9925,Y,0.0073,
220177,0.9943,0.57%,0.1407,1,0.9652,2,0.9952,0.9957,N,0.0019,6,0.9885,0.9940,N,0.0091,44,1.0786,0.9947,Y,0.0706,55,0.9915,0.9944,N,0.1003,,,0.9982,N,,,,0.9913,N,,
230002,0.9910,0.90%,0.2090,3,0.9652,152,1.1094,0.9958,Y,0.0119,221,1.0451,0.9924,Y,0.0106,734,1.1439,0.9955,Y,0.0421,432,1.0118,0.9912,Y,0.0292,1,1.0299,0.9943,N,0.0001,42,1.1692,0.9963,Y,0.0034,
230003,0.9983,0.17%,0.1857,2,0.9652,2,0.9927,0.9956,N,0.0017,12,1.0035,0.9942,N,0.0093,38,1.0515,0.9875,Y,0.0279,45,0.9352,0.9895,N,0.0499,,,0.9966,N,,1,0.9973,0.9888,N,0.0013,
230005,0.9988,0.12%,0.2361,3,0.9652,32,0.9910,0.9958,N,0.0069,61,0.9351,0.9924,N,0.0152,207,0.9243,0.9955,N,0.0591,192,0.9825,0.9912,N,0.0672,,,0.9943,N,,33,1.0787,0.9963,Y,0.0145,
230013,1.0000,0.00%,0.6700,5,0.9652,,,1.0014,N,,,,1.0059,N,,,,1.0188,N,,1,0.9981,1.0110,N,0.0201,,,1.0032,N,,,,0.9925,N,,
230015,0.9969,0.31%,0.2387,3,0.9652,6,0.9980,0.9958,N,0.0071,45,0.9915,0.9924,N,0.0440,33,0.9743,0.9955,N,0.0343,72,0.9966,0.9912,Y,0.0818,,,0.9943,N,,32,1.0505,0.9963,Y,0.0511,
230017,1.0000,0.00%,0.2309,3,0.9652,261,0.8579,0.9958,N,0.0231,143,0.9881,0.9924,N,0.0058,474,0.9096,0.9955,N,0.0229,414,0.8976,0.9912,N,0.0213,57,0.8931,0.9943,N,0.0093,118,0.8027,0.9963,N,0.0081,
230019,0.9975,0.25%,0.2202,3,0.9652,191,1.0224,0.9958,Y,0.0089,290,1.0191,0.9924,Y,0.0084,"1,191",1.0461,0.9955,Y,0.0391,568,0.9968,0.9912,Y,0.0239,73,0.9169,0.9943,N,0.0095,156,0.8597,0.9963,N,0.0073,
230020,0.9880,1.20%,0.3491,5,0.9652,244,1.0993,1.0014,Y,0.0217,271,1.0354,1.0059,Y,0.0113,662,1.1711,1.0188,Y,0.0304,479,1.1724,1.0110,Y,0.0274,125,1.0158,1.0032,Y,0.0239,65,1.1578,0.9925,Y,0.0040,
230021,1.0000,0.00%,0.3106,4,0.9652,172,0.9667,0.9972,N,0.0213,123,0.9281,0.9969,N,0.0078,544,0.9992,1.0032,N,0.0436,377,0.9335,1.0002,N,0.0368,36,0.9532,1.0061,N,0.0101,28,0.8829,0.9901,N,0.0034,
230022,0.9943,0.57%,0.2926,4,0.9652,8,0.9777,0.9972,N,0.0035,74,0.9940,0.9969,N,0.0288,128,0.9913,1.0032,N,0.0545,130,1.1027,1.0002,Y,0.0571,,,1.0061,N,,24,1.0057,0.9901,N,0.0157,
230024,0.9979,0.21%,0.5871,5,0.9652,73,0.9675,1.0014,N,0.0138,103,1.0195,1.0059,Y,0.0121,240,1.0715,1.0188,Y,0.0293,126,1.0321,1.0110,Y,0.0208,2,0.9905,1.0032,N,0.0011,17,1.0194,0.9925,N,0.0023,
230029,0.9932,0.68%,0.2083,3,0.9652,292,1.0748,0.9958,Y,0.0249,197,1.0741,0.9924,Y,0.0096,635,0.9937,0.9955,N,0.0350,469,1.0991,0.9912,Y,0.0297,90,0.8983,0.9943,N,0.0178,50,1.2720,0.9963,Y,0.0039,
230030,0.9958,0.42%,0.2760,4,0.9652,11,1.0056,0.9972,N,0.0027,70,1.0526,0.9969,Y,0.0185,142,1.0802,1.0032,Y,0.0425,156,0.9954,1.0002,N,0.0572,,,1.0061,N,,18,1.0028,0.9901,N,0.0090,
230031,0.9984,0.16%,0.2961,4,0.9652,29,1.0375,0.9972,Y,0.0080,60,0.9908,0.9969,N,0.0133,121,1.0168,1.0032,Y,0.0317,159,0.9769,1.0002,N,0.0566,,,1.0061,N,,93,1.0158,0.9901,Y,0.0362,
230035,0.9958,0.42%,0.2760,4,0.9652,,,0.9972,N,,78,1.0259,0.9969,Y,0.0352,99,0.9844,1.0032,N,0.0514,123,1.0448,1.0002,Y,0.0757,,,1.0061,N,,4,0.9817,0.9901,N,0.0032,
230036,1.0000,0.00%,0.2324,3,0.9652,17,0.9771,0.9958,N,0.0027,65,0.9500,0.9924,N,0.0124,221,0.9365,0.9955,N,0.0450,209,0.9224,0.9912,N,0.0523,,,0.9943,N,,133,0.8352,0.9963,N,0.0394,
230037,0.9992,0.08%,0.2852,4,0.9652,4,1.0098,0.9972,N,0.0019,30,0.9620,0.9969,N,0.0181,54,1.0098,1.0032,Y,0.0372,96,0.8782,1.0002,N,0.0666,,,1.0061,N,,25,1.0109,0.9901,Y,0.0272,
230038,0.9994,0.06%,0.2266,3,0.9652,392,0.8423,0.9958,N,0.0208,265,0.9212,0.9924,N,0.0075,"1,068",0.8636,0.9955,N,0.0284,481,0.9239,0.9912,N,0.0133,245,0.8590,0.9943,N,0.0231,65,1.2420,0.9963,Y,0.0026,
230041,0.9842,1.58%,0.2509,4,0.9652,385,1.1290,0.9972,Y,0.0420,211,1.0838,0.9969,Y,0.0113,593,1.0588,1.0032,Y,0.0410,324,1.0431,1.0002,Y,0.0252,129,1.1631,1.0061,Y,0.0302,193,1.0967,0.9901,Y,0.0161,
230046,0.9992,0.08%,0.2272,3,0.9652,230,0.9597,0.9958,N,0.0091,145,0.9557,0.9924,N,0.0030,943,0.9848,0.9955,N,0.0233,360,1.0772,0.9912,Y,0.0090,130,0.9989,0.9943,Y,0.0103,163,0.9939,0.9963,N,0.0046,
230047,0.9997,0.03%,0.1701,2,0.9652,321,0.9718,0.9956,N,0.0248,295,0.9604,0.9942,N,0.0118,975,0.9947,0.9875,Y,0.0502,613,0.9835,0.9895,N,0.0327,77,0.9799,0.9966,N,0.0142,34,0.9064,0.9888,N,0.0024,
230053,0.9959,0.41%,0.3604,5,0.9652,222,1.1932,1.0014,Y,0.0161,264,1.0232,1.0059,Y,0.0110,548,1.0557,1.0188,Y,0.0209,192,1.0208,1.0110,Y,0.0068,46,1.0289,1.0032,Y,0.0062,11,0.9452,0.9925,N,0.0005,
230054,0.9988,0.12%,0.2053,3,0.9652,314,0.8802,0.9958,N,0.0539,90,0.9863,0.9924,N,0.0073,271,0.8677,0.9955,N,0.0270,144,0.9303,0.9912,N,0.0159,80,1.0377,0.9943,Y,0.0293,196,0.8406,0.9963,N,0.0251,
230055,1.0000,0.00%,0.2408,3,0.9652,12,0.9589,0.9958,N,0.0047,78,0.9220,0.9924,N,0.0319,132,0.9600,0.9955,N,0.0587,86,0.9848,0.9912,N,0.0509,,,0.9943,N,,31,0.9092,0.9963,N,0.0197,
230058,0.9997,0.03%,0.2326,3,0.9652,4,0.9852,0.9958,N,0.0014,64,0.9533,0.9924,N,0.0289,138,0.9384,0.9955,N,0.0662,92,0.9985,0.9912,Y,0.0455,,,0.9943,N,,21,1.0003,0.9963,N,0.0152,
230059,0.9997,0.03%,0.2823,4,0.9652,51,0.9615,0.9972,N,0.0054,67,1.0450,0.9969,Y,0.0053,277,0.9382,1.0032,N,0.0274,160,1.0021,1.0002,Y,0.0202,,,1.0061,N,,19,1.0639,0.9901,N,0.0028,
230066,0.9998,0.02%,0.2663,4,0.9652,194,0.8940,0.9972,N,0.0236,132,0.9536,0.9969,N,0.0086,530,0.8205,1.0032,N,0.0357,348,0.8883,1.0002,N,0.0303,67,0.9345,1.0061,N,0.0182,58,1.0405,0.9901,Y,0.0051,
230069,1.0000,0.00%,0.1474,1,0.9652,2,0.9913,0.9957,N,0.0005,80,0.9378,0.9940,N,0.0187,190,0.9706,0.9947,N,0.0521,204,0.8712,0.9944,N,0.0739,,,0.9982,N,,15,0.9910,0.9913,N,0.0062,
230070,0.9946,0.54%,0.2776,4,0.9652,267,0.9485,0.9972,N,0.0205,209,1.0802,0.9969,Y,0.0086,606,1.0129,1.0032,Y,0.0290,635,1.1218,1.0002,Y,0.0360,74,1.0238,1.0061,Y,0.0126,224,0.8014,0.9901,N,0.0138,
230072,0.9999,0.01%,0.2003,3,0.9652,68,0.9351,0.9958,N,0.0223,36,0.9998,0.9924,Y,0.0072,180,0.9883,0.9955,N,0.0421,108,0.9527,0.9912,N,0.0251,,,0.9943,N,,150,0.7939,0.9963,N,0.0528,
230075,0.9995,0.05%,0.3373,5,0.9652,5,1.0286,1.0014,N,0.0005,107,1.0487,1.0059,Y,0.0118,233,0.9622,1.0188,N,0.0316,256,1.0106,1.0110,N,0.0375,,,1.0032,N,,107,0.9733,0.9925,N,0.0215,
230077,0.9994,0.06%,0.2300,3,0.9652,160,1.0072,0.9958,Y,0.0267,75,0.9643,0.9924,N,0.0067,225,0.9665,0.9955,N,0.0228,192,0.9710,0.9912,N,0.0224,50,1.0136,0.9943,Y,0.0184,22,1.1349,0.9963,N,0.0029,
230078,1.0000,0.00%,0.1186,1,0.9652,,,0.9957,N,,,,0.9940,N,,,,0.9947,N,,1,0.9983,0.9944,N,0.0179,,,0.9982,N,,1,0.9983,0.9913,N,0.0386,
230080,0.9983,0.17%,0.2689,4,0.9652,,,0.9972,N,,33,0.9906,0.9969,N,0.0145,86,1.0278,1.0032,Y,0.0384,74,1.0187,1.0002,Y,0.0447,,,1.0061,N,,89,0.8352,0.9901,N,0.0666,
230081,0.9976,0.24%,0.2871,4,0.9652,9,0.9683,0.9972,N,0.0028,79,0.8888,0.9969,N,0.0232,150,0.9182,1.0032,N,0.0506,100,0.9776,1.0002,N,0.0333,,,1.0061,N,,71,1.0613,0.9901,Y,0.0351,
230085,1.0000,0.00%,0.3146,4,0.9652,2,0.9936,0.9972,N,0.0049,23,0.9681,0.9969,N,0.0445,39,0.9484,1.0032,N,0.0921,30,0.9659,1.0002,N,0.0776,,,1.0061,N,,,,0.9901,N,,
230089,0.9880,1.20%,0.2924,4,0.9652,61,1.0802,0.9972,Y,0.0074,200,1.0399,0.9969,Y,0.0158,454,1.1199,1.0032,Y,0.0460,247,1.0872,1.0002,Y,0.0301,1,0.9971,1.0061,N,0.0002,113,1.1780,0.9901,Y,0.0166,
230092,0.9984,0.16%,0.2556,4,0.9652,360,0.8697,0.9972,N,0.0342,242,0.9983,0.9969,Y,0.0122,636,1.0108,1.0032,Y,0.0373,518,1.0330,1.0002,Y,0.0353,85,1.0147,1.0061,Y,0.0186,25,1.0011,0.9901,Y,0.0027,
230093,0.9981,0.19%,0.3154,4,0.9652,,,0.9972,N,,67,1.0517,0.9969,Y,0.0359,104,0.9967,1.0032,N,0.0597,106,0.9638,1.0002,N,0.0773,,,1.0061,N,,,,0.9901,N,,
230095,0.9974,0.26%,0.2723,4,0.9652,7,0.9991,0.9972,N,0.0036,58,1.0110,0.9969,Y,0.0234,74,0.9633,1.0032,N,0.0332,104,1.0452,1.0002,Y,0.0527,,,1.0061,N,,23,0.9107,0.9901,N,0.0164,
230097,0.9989,0.11%,0.1816,2,0.9652,517,0.8508,0.9956,N,0.0397,158,0.9607,0.9942,N,0.0056,784,0.9086,0.9875,N,0.0372,263,1.0183,0.9895,Y,0.0109,181,0.9199,0.9966,N,0.0311,136,1.0889,0.9888,Y,0.0079,
230099,0.9915,0.85%,0.3027,4,0.9652,83,1.0051,0.9972,Y,0.0191,112,1.0684,0.9969,Y,0.0197,175,1.0775,1.0032,Y,0.0305,195,1.1206,1.0002,Y,0.0414,,,1.0061,N,,11,1.0976,0.9901,N,0.0034,
230100,0.9952,0.48%,0.2204,3,0.9652,,,0.9958,N,,57,0.9426,0.9924,N,0.0368,67,1.0005,0.9955,Y,0.0523,98,1.0455,0.9912,Y,0.0875,,,0.9943,N,,3,0.9865,0.9963,N,0.0034,
230104,0.9956,0.44%,0.6217,5,0.9652,125,1.0421,1.0014,Y,0.0366,80,0.9843,1.0059,N,0.0089,252,1.0474,1.0188,Y,0.0373,74,1.0736,1.0110,Y,0.0131,38,1.0507,1.0032,Y,0.0239,26,0.9524,0.9925,N,0.0044,
230105,0.9992,0.08%,0.1766,2,0.9652,344,0.9800,0.9956,N,0.0555,118,0.9196,0.9942,N,0.0094,393,0.9724,0.9875,N,0.0374,227,0.8489,0.9895,N,0.0254,86,0.9585,0.9966,N,0.0320,40,1.1469,0.9888,Y,0.0053,
230108,1.0000,0.00%,0.2286,3,0.9652,6,1.0252,0.9958,N,0.0067,12,0.9650,0.9924,N,0.0105,33,0.9808,0.9955,N,0.0322,46,0.9361,0.9912,N,0.0589,,,0.9943,N,,2,0.9808,0.9963,N,0.0035,
230110,0.9992,0.08%,0.2454,4,0.9652,2,0.9922,0.9972,N,0.0009,63,1.0102,0.9969,Y,0.0275,108,1.0122,1.0032,Y,0.0498,136,0.9489,1.0002,N,0.0756,,,1.0061,N,,13,0.9544,0.9901,N,0.0093,
230117,1.0000,0.00%,0.2243,3,0.9652,381,0.8831,0.9958,N,0.0523,72,0.9277,0.9924,N,0.0051,445,0.7986,0.9955,N,0.0355,279,0.9600,0.9912,N,0.0252,111,0.9913,0.9943,N,0.0314,140,0.9280,0.9963,N,0.0135,
230121,0.9999,0.01%,0.2856,4,0.9652,6,1.0069,0.9972,N,0.0021,51,0.9696,0.9969,N,0.0174,148,0.9583,1.0032,N,0.0400,195,1.0016,1.0002,Y,0.0636,,,1.0061,N,,88,0.9462,0.9901,N,0.0353,
230130,0.9943,0.57%,0.2125,3,0.9652,399,1.1395,0.9958,Y,0.0146,355,0.9065,0.9924,N,0.0062,"1,611",1.0172,0.9955,Y,0.0332,862,1.0387,0.9912,Y,0.0223,160,1.0677,0.9943,Y,0.0131,216,1.1699,0.9963,Y,0.0061,
230132,0.9988,0.12%,0.4040,5,0.9652,44,1.0128,1.0014,Y,0.0070,101,0.9764,1.0059,N,0.0117,219,1.0627,1.0188,Y,0.0266,127,1.0042,1.0110,N,0.0152,,,1.0032,N,,97,0.8838,0.9925,N,0.0153,
230133,0.9959,0.41%,0.2400,3,0.9652,2,1.0189,0.9958,N,0.0004,38,0.9646,0.9924,N,0.0221,80,1.0225,0.9955,Y,0.0467,123,1.0286,0.9912,Y,0.0788,,,0.9943,N,,9,1.1148,0.9963,N,0.0084,
230141,0.9887,1.13%,0.2223,3,0.9652,298,1.1146,0.9958,Y,0.0319,154,1.0327,0.9924,Y,0.0085,627,0.9906,0.9955,N,0.0411,330,1.0647,0.9912,Y,0.0258,92,1.0739,0.9943,Y,0.0212,159,1.2962,0.9963,Y,0.0133,
230142,0.9951,0.49%,0.3993,5,0.9652,53,1.1599,1.0014,Y,0.0167,82,0.9876,1.0059,N,0.0183,151,1.0322,1.0188,Y,0.0302,141,1.0372,1.0110,Y,0.0386,,,1.0032,N,,27,1.1250,0.9925,Y,0.0079,
230146,0.9926,0.74%,0.2520,4,0.9652,217,0.9794,0.9972,N,0.0255,261,1.1006,0.9969,Y,0.0193,585,1.0367,1.0032,Y,0.0540,355,1.1073,1.0002,Y,0.0358,,,1.0061,N,,13,1.0716,0.9901,N,0.0018,
230151,0.9936,0.64%,0.3200,5,0.9652,114,1.0192,1.0014,Y,0.0123,199,1.0882,1.0059,Y,0.0161,450,1.0334,1.0188,Y,0.0394,347,1.0733,1.0110,Y,0.0406,,,1.0032,N,,109,1.1485,0.9925,Y,0.0127,
230156,0.9971,0.29%,0.1679,2,0.9652,501,1.0288,0.9956,Y,0.0305,297,0.9511,0.9942,N,0.0083,"1,122",0.9677,0.9875,N,0.0370,732,1.0653,0.9895,Y,0.0261,169,0.9191,0.9966,N,0.0201,638,0.8392,0.9888,N,0.0264,
230165,0.9975,0.25%,0.3636,5,0.9652,150,1.0103,1.0014,Y,0.0158,182,1.0471,1.0059,Y,0.0079,666,1.0630,1.0188,Y,0.0334,286,1.0429,1.0110,Y,0.0197,88,0.9598,1.0032,N,0.0180,46,0.9434,0.9925,N,0.0028,
230167,0.9951,0.49%,0.2441,4,0.9652,110,0.9017,0.9972,N,0.0216,93,0.9346,0.9969,N,0.0094,258,1.1025,1.0032,Y,0.0328,230,1.0112,1.0002,Y,0.0321,34,1.0848,1.0061,Y,0.0140,35,1.0546,0.9901,Y,0.0057,
