FY 2025 IPPS/LTCH PPS Final Rule: Hospital Readmissions Reduction Program Supplemental Data            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital CNN,  Payment adjustment factor ,Payment reduction percentage,Dual proportion,Peer group assignment,Neutrality modifier ,Number of eligible discharges for AMI,ERR for AMI,Peer group median ERR for AMI,Penalty indicator for AMI,DRG payment ratio for AMI,Number of eligible discharges for COPD,ERR for COPD,Peer group median ERR for COPD,Penalty indicator for COPD,DRG payment ratio for COPD,Number of eligible discharges for HF,ERR for HF,Peer group median ERR for HF,Penalty indicator for HF,DRG payment ratio for HF,Number of eligible discharges for pneumonia,ERR for pneumonia,Peer group median ERR for pneumonia,Penalty indicator for pneumonia,DRG payment ratio for pneumonia,Number of eligible discharges for CABG,ERR for CABG,Peer group median ERR for CABG,Penalty indicator for CABG,DRG payment ratio for CABG,Number of eligible discharges for THA/TKA,ERR for THA/TKA,Peer group median ERR for THA/TKA,Penalty indicator for THA/TKA,DRG payment ratio for THA/TKA,
010085,0.9976,0.24%,0.1377,1,0.9652,37,0.9633,0.9957,N,0.0038,139,1.0403,0.9940,Y,0.0131,399,0.9652,0.9947,N,0.0412,440,0.9726,0.9944,N,0.0572,,,0.9982,N,,71,1.1523,0.9913,Y,0.0117,
010086,0.9999,0.01%,0.1921,2,0.9652,1,0.9981,0.9956,N,0.0006,68,0.9167,0.9942,N,0.0455,36,0.9898,0.9875,Y,0.0264,87,0.9250,0.9895,N,0.0690,,,0.9966,N,,,,0.9888,N,,
010087,0.9999,0.01%,0.2010,3,0.9652,25,0.9903,0.9958,N,0.0084,14,0.9915,0.9924,N,0.0022,46,1.0023,0.9955,Y,0.0089,43,0.9676,0.9912,N,0.0091,7,1.0680,0.9943,N,0.0065,2,0.9956,0.9963,N,0.0005,
010089,0.9986,0.14%,0.1765,2,0.9652,12,0.9982,0.9956,N,0.0032,87,1.0075,0.9942,Y,0.0214,154,1.0249,0.9875,Y,0.0318,155,0.9149,0.9895,N,0.0346,,,0.9966,N,,14,1.0843,0.9888,N,0.0043,
010090,0.9954,0.46%,0.0971,1,0.9652,154,1.0685,0.9957,Y,0.0243,96,0.9523,0.9940,N,0.0083,341,0.9687,0.9947,N,0.0323,285,1.1009,0.9944,Y,0.0278,100,0.9970,0.9982,N,0.0337,125,0.9585,0.9913,N,0.0146,
010091,1.0000,0.00%,0.2414,3,0.9652,,,0.9958,N,,2,0.9963,0.9924,N,0.0076,4,1.0059,0.9955,N,0.0189,11,0.9940,0.9912,N,0.0582,,,0.9943,N,,,,0.9963,N,,
010092,0.9925,0.75%,0.2018,3,0.9652,173,1.0291,0.9958,Y,0.0155,312,1.1361,0.9924,Y,0.0134,681,0.9813,0.9955,N,0.0334,604,1.1388,0.9912,Y,0.0329,39,1.0061,0.9943,Y,0.0075,30,1.1877,0.9963,Y,0.0020,
010095,1.0000,0.00%,0.2405,3,0.9652,1,0.9965,0.9958,N,0.0026,9,0.9800,0.9924,N,0.0201,11,0.9823,0.9955,N,0.0339,13,1.0066,0.9912,N,0.0416,,,0.9943,N,,,,0.9963,N,,
010097,0.9984,0.16%,0.1861,2,0.9652,1,0.9979,0.9956,N,0.0012,11,0.9942,0.9942,N,0.0179,9,0.9989,0.9875,N,0.0190,38,1.0172,0.9895,Y,0.0616,,,0.9966,N,,,,0.9888,N,,
010099,0.9998,0.02%,0.1806,2,0.9652,7,0.9984,0.9956,N,0.0062,20,1.0020,0.9942,N,0.0173,43,0.9930,0.9875,Y,0.0380,51,0.9716,0.9895,N,0.0523,,,0.9966,N,,,,0.9888,N,,
010100,0.9961,0.39%,0.0602,1,0.9652,140,0.9548,0.9957,N,0.0306,79,1.0630,0.9940,Y,0.0057,334,1.0359,0.9947,Y,0.0333,342,1.0643,0.9944,Y,0.0320,202,0.9432,0.9982,N,0.0701,177,0.8863,0.9913,N,0.0226,
010101,0.9905,0.95%,0.2234,3,0.9652,3,0.9936,0.9958,N,0.0014,23,0.9601,0.9924,N,0.0157,50,1.0714,0.9955,Y,0.0384,56,1.1244,0.9912,Y,0.0517,,,0.9943,N,,,,0.9963,N,,
010102,1.0000,0.00%,0.3359,5,0.9652,,,1.0014,N,,1,0.9974,1.0059,N,0.0104,5,1.0038,1.0188,N,0.0742,6,1.0214,1.0110,N,0.0875,,,1.0032,N,,,,0.9925,N,,
010103,0.9980,0.20%,0.1689,2,0.9652,121,1.0055,0.9956,Y,0.0311,67,0.9694,0.9942,N,0.0069,218,0.9504,0.9875,N,0.0248,103,0.9766,0.9895,N,0.0203,61,1.0605,0.9966,Y,0.0269,60,0.9928,0.9888,Y,0.0093,
010104,0.9946,0.54%,0.0729,1,0.9652,207,1.0593,0.9957,Y,0.0157,154,1.0040,0.9940,Y,0.0075,598,1.0208,0.9947,Y,0.0284,341,0.9621,0.9944,N,0.0169,112,1.1821,0.9982,Y,0.0173,385,1.0159,0.9913,Y,0.0221,
010108,0.9975,0.25%,0.1352,1,0.9652,12,0.9881,0.9957,N,0.0040,88,0.9658,0.9940,N,0.0296,157,1.0382,0.9947,Y,0.0590,142,0.9250,0.9944,N,0.0542,,,0.9982,N,,,,0.9913,N,,
010110,1.0000,0.00%,0.2963,4,0.9652,,,0.9972,N,,,,0.9969,N,,,,1.0032,N,,1,0.9965,1.0002,N,0.0158,,,1.0061,N,,,,0.9901,N,,
010112,1.0000,0.00%,0.2934,4,0.9652,4,1.0128,0.9972,N,0.0020,14,1.0757,0.9969,N,0.0071,66,0.9820,1.0032,N,0.0422,65,0.9343,1.0002,N,0.0525,,,1.0061,N,,1,0.9968,0.9901,N,0.0010,
010113,0.9970,0.30%,0.1499,2,0.9652,157,1.0816,0.9956,Y,0.0149,146,1.0694,0.9942,Y,0.0065,392,0.9835,0.9875,N,0.0214,393,0.9485,0.9895,N,0.0231,56,1.1177,0.9966,Y,0.0113,147,0.9279,0.9888,N,0.0098,
010114,0.9995,0.05%,0.1454,1,0.9652,14,1.0247,0.9957,N,0.0026,60,0.9697,0.9940,N,0.0122,98,0.9338,0.9947,N,0.0250,153,1.0069,0.9944,Y,0.0412,,,0.9982,N,,6,0.9817,0.9913,N,0.0025,
010118,0.9991,0.09%,0.3427,5,0.9652,17,1.0204,1.0014,N,0.0075,46,0.9633,1.0059,N,0.0159,80,0.9398,1.0188,N,0.0270,113,1.0289,1.0110,Y,0.0507,,,1.0032,N,,,,0.9925,N,,
010120,0.9986,0.14%,0.1731,2,0.9652,2,0.9941,0.9956,N,0.0020,13,0.9978,0.9942,N,0.0130,29,0.9913,0.9875,Y,0.0375,42,1.0142,0.9895,Y,0.0509,,,0.9966,N,,,,0.9888,N,,
010125,0.9998,0.02%,0.2159,3,0.9652,1,0.9965,0.9958,N,0.0021,58,0.9396,0.9924,N,0.0507,38,0.9998,0.9955,Y,0.0370,280,0.9691,0.9912,N,0.2141,,,0.9943,N,,,,0.9963,N,,
010126,0.9958,0.42%,0.2481,4,0.9652,1,1.0192,0.9972,N,0.0018,13,1.0026,0.9969,N,0.0131,40,1.0713,1.0032,Y,0.0480,45,1.0148,1.0002,Y,0.0723,,,1.0061,N,,2,0.9945,0.9901,N,0.0021,
010128,0.9978,0.22%,0.1897,2,0.9652,,,0.9956,N,,22,0.9673,0.9942,N,0.0362,25,1.0057,0.9875,Y,0.0368,29,1.0242,0.9895,Y,0.0475,,,0.9966,N,,,,0.9888,N,,
010129,0.9957,0.43%,0.1188,1,0.9652,6,0.9990,0.9957,N,0.0044,14,0.9966,0.9940,N,0.0112,40,0.9521,0.9947,N,0.0300,47,1.1074,0.9944,Y,0.0393,,,0.9982,N,,2,0.9928,0.9913,N,0.0025,
010130,0.9968,0.32%,0.1134,1,0.9652,5,1.0041,0.9957,N,0.0026,42,0.9861,0.9940,N,0.0220,66,0.9977,0.9947,Y,0.0358,127,1.0309,0.9944,Y,0.0870,,,0.9982,N,,1,0.9937,0.9913,N,0.0009,
010131,0.9944,0.56%,0.0638,1,0.9652,138,1.0767,0.9957,Y,0.0166,91,1.0147,0.9940,Y,0.0078,278,1.0574,0.9947,Y,0.0279,346,1.0566,0.9944,Y,0.0413,,,0.9982,N,,84,0.9839,0.9913,N,0.0123,
010139,0.9987,0.13%,0.0902,1,0.9652,87,1.0068,0.9957,Y,0.0200,29,0.9809,0.9940,N,0.0035,142,1.0234,0.9947,Y,0.0213,169,1.0121,0.9944,Y,0.0281,30,0.9585,0.9982,N,0.0185,23,1.0801,0.9913,N,0.0039,
010144,0.9974,0.26%,0.1059,1,0.9652,69,1.0400,0.9957,Y,0.0128,80,1.0617,0.9940,Y,0.0069,250,0.9707,0.9947,N,0.0274,185,1.0317,0.9944,Y,0.0221,51,1.0428,0.9982,Y,0.0191,49,0.9914,0.9913,Y,0.0072,
010148,0.9973,0.27%,0.1897,2,0.9652,,,0.9956,N,,87,0.9766,0.9942,N,0.0557,62,1.0356,0.9875,Y,0.0507,90,0.9943,0.9895,Y,0.0662,,,0.9966,N,,,,0.9888,N,,
010149,0.9953,0.47%,0.1263,1,0.9652,22,1.0185,0.9957,N,0.0038,79,0.9357,0.9940,N,0.0120,261,1.0390,0.9947,Y,0.0467,203,1.0643,0.9944,Y,0.0405,,,0.9982,N,,,,0.9913,N,,
010150,1.0000,0.00%,0.2555,4,0.9652,6,0.9854,0.9972,N,0.0056,21,1.0273,0.9969,N,0.0231,30,0.9832,1.0032,N,0.0367,18,1.0229,1.0002,N,0.0266,,,1.0061,N,,5,0.9794,0.9901,N,0.0133,
010157,1.0000,0.00%,0.2464,4,0.9652,,,0.9972,N,,9,0.9761,0.9969,N,0.0135,4,1.0032,1.0032,N,0.0067,16,1.0318,1.0002,N,0.0297,,,1.0061,N,,,,0.9901,N,,
010158,0.9885,1.15%,0.2094,3,0.9652,4,0.9885,0.9958,N,0.0045,40,0.9592,0.9924,N,0.0260,20,0.9922,0.9955,N,0.0148,92,1.0351,0.9912,Y,0.0641,,,0.9943,N,,31,1.2367,0.9963,Y,0.0378,
010164,0.9958,0.42%,0.1865,2,0.9652,11,1.0069,0.9956,N,0.0052,44,0.9639,0.9942,N,0.0193,80,1.0049,0.9875,Y,0.0422,88,1.0679,0.9895,Y,0.0461,,,0.9966,N,,14,1.1156,0.9888,N,0.0110,
010168,1.0000,0.00%,0.0408,1,0.9652,3,0.9922,0.9957,N,0.0008,12,1.0211,0.9940,N,0.0020,9,1.0036,0.9947,N,0.0019,14,0.9712,0.9944,N,0.0023,,,0.9982,N,,460,0.9706,0.9913,N,0.1472,
010169,0.9934,0.66%,0.1646,2,0.9652,1,0.9982,0.9956,N,0.0014,25,0.9784,0.9942,N,0.0342,46,1.0820,0.9875,Y,0.0721,23,0.9848,0.9895,N,0.0445,,,0.9966,N,,,,0.9888,N,,
010173,1.0000,0.00%,0.1220,1,0.9652,,,0.9957,N,,17,1.0103,0.9940,N,0.0319,17,1.0250,0.9947,N,0.0421,42,0.9545,0.9944,N,0.1096,,,0.9982,N,,,,0.9913,N,,
010174,1.0000,0.00%,0.2387,3,0.9652,2,1.0171,0.9958,N,0.0066,6,0.9864,0.9924,N,0.0212,12,1.0432,0.9955,N,0.0393,18,0.9803,0.9912,N,0.0641,,,0.9943,N,,,,0.9963,N,,
010175,1.0000,0.00%,0.1927,2,0.9652,1,0.9981,0.9956,N,0.0013,15,0.9655,0.9942,N,0.0293,24,1.0148,0.9875,N,0.0525,34,0.9738,0.9895,N,0.0872,,,0.9966,N,,,,0.9888,N,,
020001,0.9996,0.04%,0.3230,5,0.9652,442,0.8554,1.0014,N,0.0376,134,0.9224,1.0059,N,0.0054,463,0.8824,1.0188,N,0.0239,211,1.0138,1.0110,Y,0.0125,147,0.8862,1.0032,N,0.0240,41,1.1568,0.9925,Y,0.0026,
020006,0.9959,0.41%,0.2985,4,0.9652,150,1.0116,0.9972,Y,0.0280,96,0.9378,0.9969,N,0.0111,233,0.9410,1.0032,N,0.0304,272,0.9206,1.0002,N,0.0438,,,1.0061,N,,58,1.3440,0.9901,Y,0.0108,
020008,0.9978,0.22%,0.2973,4,0.9652,5,1.0628,0.9972,N,0.0020,35,1.0317,0.9969,Y,0.0190,58,1.0502,1.0032,Y,0.0348,39,0.9945,1.0002,N,0.0265,,,1.0061,N,,32,0.9226,0.9901,N,0.0312,
020012,1.0000,0.00%,0.3143,4,0.9652,76,0.9501,0.9972,N,0.0242,52,0.9882,0.9969,N,0.0098,123,0.8547,1.0032,N,0.0265,111,0.9422,1.0002,N,0.0270,,,1.0061,N,,117,0.8958,0.9901,N,0.0381,
020017,0.9953,0.47%,0.3325,5,0.9652,142,1.0241,1.0014,Y,0.0176,71,1.1236,1.0059,Y,0.0046,212,1.0598,1.0188,Y,0.0172,200,1.1081,1.0110,Y,0.0200,64,1.0200,1.0032,Y,0.0157,530,1.0117,0.9925,Y,0.0513,
020018,1.0000,0.00%,0.5639,5,0.9652,2,0.9942,1.0014,N,0.0038,11,0.9753,1.0059,N,0.0171,37,0.9731,1.0188,N,0.0661,68,0.9288,1.0110,N,0.1312,,,1.0032,N,,,,0.9925,N,,
020024,0.9906,0.94%,0.2786,4,0.9652,8,1.0019,0.9972,N,0.0015,96,1.1080,0.9969,Y,0.0190,179,1.1380,1.0032,Y,0.0401,135,1.0657,1.0002,Y,0.0347,,,1.0061,N,,188,0.8268,0.9901,N,0.0673,
